week,n,mean,median,sd,age50,age25,age75,bmi,bmi25,bmi75,q25,q75,qmean,qmedian,qq25,qq75
"[-60,-59)",3330,2.07233933426954,2.05499994754791,0.48822731469596,29.8698059360731,27.6706050228311,32.2467465753425,23.4839496612549,20.7157001495361,27.5482006072998,1.70000004768372,2.42000007629395,0.464557963018459,0.466928422451019,0.243780665099621,0.679790318012238
"[-59,-58)",3447,2.04747606096733,2.00999999046326,0.489511357485922,29.8737442922374,27.5818493150685,32.1505136986301,23.4235992431641,20.7966995239258,27.5397253036499,1.70000004768372,2.40000009536743,0.452314403333896,0.454244881868362,0.232381403446198,0.67173308134079
"[-58,-57)",3440,2.05466714611407,2,0.500989710700853,29.9135844748859,27.6325057077626,32.1552796803653,23.2820491790772,20.6974501609802,27.0283131599426,1.6774999499321,2.40000009536743,0.454344131321197,0.452055081725121,0.226582806557417,0.679393887519836
"[-57,-56)",3371,2.05859734657715,2,0.500659257945426,29.9569634703196,27.7553082191781,32.2555936073059,23.1404991149902,20.5499000549316,27.3408741950989,1.69000005722046,2.42000007629395,0.456961007245805,0.454244881868362,0.227231740951538,0.688037574291229
"[-56,-55)",3525,2.05395035008167,2,0.491093693141979,29.9084474885845,27.6859589041096,32.1575342465754,23.3936497370402,20.6267004013062,27.1339745521545,1.70000004768372,2.40000009536743,0.454492425723067,0.454244881868362,0.22898343205452,0.67173308134079
"[-55,-54)",3558,2.0666132605833,2,0.496220884435628,29.8122716894977,27.5722602739726,32.2357876712329,23.0140495300293,20.5499000549316,27.3099994659424,1.70000004768372,2.46000003814697,0.459697099333444,0.447387486696243,0.232381403446198,0.686639070510864
"[-54,-53)",3602,2.05225568862507,2,0.491944294945286,29.9327625570776,27.5906678082192,32.4084760273973,23.2549991607666,20.7031002044678,27.3099994659424,1.69000005722046,2.40000009536743,0.453147133192289,0.438087403774261,0.226230934262276,0.674953162670136
"[-53,-52)",3642,2.05894562957183,2,0.496463943045559,29.9559360730594,27.7487442922374,32.3318207762557,23.2254009246826,20.4770002365112,27.1309499740601,1.70000004768372,2.41000008583069,0.45699981227824,0.443857878446579,0.232381403446198,0.678526505827904
"[-52,-51)",3491,2.05051274190008,2,0.487914682764344,29.9843607305936,27.6675228310502,32.2836757990868,23.2434000968933,20.8423752784729,27.3107995986939,1.70000004768372,2.40000009536743,0.453923422507611,0.453074365854263,0.232381403446198,0.67173308134079
"[-51,-50)",3387,2.08656676854337,2.05999994277954,0.490847012754871,29.8561643835616,27.5723173515982,32.1297945205479,23.2434005737305,20.5499000549316,27.6816997528076,1.70000004768372,2.46000003814697,0.470404130083588,0.469323247671127,0.248184621334076,0.693038105964661
"[-50,-49)",3521,2.05145270686974,2,0.493907967083836,30.0091324200913,27.7962328767123,32.2702054794521,23.148099899292,20.6851997375488,27.2311000823975,1.67999994754791,2.40000009536743,0.454372677582009,0.445802837610245,0.226230934262276,0.67295104265213
"[-49,-48)",3523,2.0792208294993,2.05999994277954,0.495881698936902,30.0692922374429,27.7708904109589,32.3380136986301,23.4375,20.449963092804,27.1183495521545,1.70000004768372,2.46000003814697,0.46882629250775,0.469323247671127,0.248184621334076,0.694044530391693
"[-48,-47)",3536,2.05677459892981,2,0.490582982676921,29.9393835616438,27.7426369863014,32.2373002283105,23.0517997741699,20.4491004943848,27.239200592041,1.70000004768372,2.40000009536743,0.455903222223394,0.454244881868362,0.237107187509537,0.671923995018005
"[-47,-46)",3495,2.06075249831905,2.00999999046326,0.488897195291863,29.9851598173516,27.747602739726,32.3147831050228,23.1293837229411,20.5687999725342,26.6806502342224,1.70000004768372,2.40000009536743,0.459671076934635,0.45751303434372,0.237542726099491,0.672676235437393
"[-46,-45)",3596,2.06627641442554,2.01499998569489,0.478938990183155,29.9901255707763,27.6714326484018,32.3571917808219,23.4375,20.8325004577637,27.2540251413981,1.70000004768372,2.40000009536743,0.462437923973814,0.461986348032951,0.260191053152084,0.671923995018005
"[-45,-44)",3343,2.05284624184601,2,0.496941163488102,29.7986301369863,27.6725456621005,32.0804794520548,23.4375,20.5690498352051,27.3757495880127,1.70000004768372,2.40000009536743,0.453386962949236,0.443408757448196,0.226230934262276,0.676491498947144
"[-44,-43)",3496,2.06323798094584,2.00499999523163,0.485447315042009,29.9497716894977,27.6370433789954,32.2729737442922,23.2339997291565,20.4491004943848,27.5459747314453,1.70000004768372,2.40250009298325,0.459651055127474,0.454612120985985,0.237107187509537,0.679790318012238
"[-43,-42)",3429,2.06898512136974,2.03999996185303,0.491655149437615,29.8310502283105,27.6722602739726,32.0506849315069,23.3726005554199,20.9150505065918,27.1238498687744,1.70000004768372,2.41000008583069,0.462368942200746,0.468780040740967,0.237576901912689,0.685229182243347
"[-42,-41)",3336,2.07004645900975,2.04999995231628,0.4874345882766,29.8749429223744,27.6283105022831,32.151598173516,22.9591007232666,20.4564003944397,27.5395002365112,1.70000004768372,2.41000008583069,0.463950041664778,0.468780040740967,0.248170934617519,0.683850482106209
"[-41,-40)",3226,2.05901425489342,2.00999999046326,0.480518473381758,29.8930365296804,27.5834474885845,32.3159817351598,23.4235992431641,20.7949495315552,27.2493000030518,1.70000004768372,2.40000009536743,0.458185647773081,0.45751303434372,0.237576901912689,0.674953162670136
"[-40,-39)",3213,2.06347805421151,2.02999997138977,0.480553481986493,29.9933789954338,27.6804794520548,32.2614155251142,23.6853504180908,20.8306250572205,27.7645750045776,1.70000004768372,2.40000009536743,0.460855067097441,0.457848012447357,0.241088539361954,0.67173308134079
"[-39,-38)",3104,2.06924612975449,2.01999998092651,0.480763449940088,29.9316780821918,27.6577910958904,32.1408105022831,23.4375,20.562162399292,27.1040253639221,1.70000004768372,2.40000009536743,0.463156401663413,0.45751303434372,0.248184621334076,0.677526652812958
"[-38,-37)",3100,2.08520322067122,2.08999991416931,0.491105188423955,29.7758561643836,27.6051084474886,32.2063356164384,23.0970501899719,20.463775396347,26.6121997833252,1.70000004768372,2.46250003576279,0.471505774306434,0.470526844263077,0.248184621334076,0.698827743530273
"[-37,-36)",4375,2.07525828095845,2.04999995231628,0.487998967825052,29.5433789954338,27.4179794520548,31.8724885844749,22.9480991363525,20.5499000549316,26.9537501335144,1.70000004768372,2.42000007629395,0.463409947416612,0.461360663175583,0.243552729487419,0.679393887519836
